HUNTBASE = [
	0, 5, 
	8201, 8300, 1340, 44, 1, 
	8301, 8400, 1356, 44, 1, 
	8401, 8500, 1372, 44, 1, 
	8501, 8600, 1388, 44, 1, 
	8601, 8700, 1404, 46, 1, 
	8701, 8800, 1420, 46, 1, 
	8801, 8900, 1436, 46, 1, 
	8901, 9000, 1452, 46, 1, 
	9001, 9100, 1468, 46, 1, 
	9101, 9200, 1484, 46, 1, 
	9201, 9300, 1500, 46, 1, 
	9301, 9400, 1516, 48, 1, 
	9401, 9500, 1532, 48, 1, 
	9501, 9600, 1548, 48, 1, 
	9601, 9700, 1564, 48, 1, 
	9701, 9800, 1580, 48, 1, 
	9801, 9900, 1596, 48, 1, 
	9901, 10000, 1612, 48, 1, 
	10001, 10100, 1628, 50, 1, 
	10101, 10200, 1644, 50, 1, 
	10201, 10300, 1660, 50, 1, 
	10301, 10400, 1676, 50, 1, 
	10401, 10500, 1692, 50, 1, 
	10501, 10600, 1708, 50, 1, 
	10601, 10700, 1724, 50, 1, 
	10701, 10800, 1740, 52, 1, 
	10801, 10900, 1756, 52, 1, 
	10901, 11000, 1772, 52, 1, 
	11001, 11100, 1788, 52, 1, 
	11101, 11200, 1804, 52, 1, 
	11201, 11300, 1820, 52, 1, 
	11301, 11400, 1836, 52, 1, 
	11401, 11500, 1852, 54, 1, 
	11501, 11600, 1868, 54, 1, 
	11601, 11700, 1884, 54, 1, 
	11701, 11800, 1900, 54, 1, 
	11801, 11900, 1916, 54, 1, 
	11901, 12000, 1932, 54, 1, 
	12001, 12100, 1948, 54, 1, 
	12101, 12200, 1964, 54, 1, 
	12201, 12300, 1980, 56, 1, 
	12301, 12400, 1996, 56, 1, 
	12401, 12500, 2012, 56, 1, 
	12501, 12600, 2028, 56, 1, 
	12601, 12700, 2044, 56, 1, 
	12701, 12800, 2060, 56, 1, 
	12801, 12900, 2076, 56, 1, 
	12901, 13000, 2092, 58, 1, 
	13001, 13100, 2108, 58, 1, 
	13101, 13200, 2124, 58, 1, 
	13201, 13300, 2140, 58, 1, 
	13301, 13400, 2156, 58, 1, 
	13401, 13500, 2172, 58, 1, 
	13501, 13600, 2188, 58, 1, 
	13601, 13700, 2204, 60, 1, 
	13701, 13800, 2220, 60, 1, 
	13801, 13900, 2236, 60, 1, 
	13901, 14000, 2252, 60, 1, 
	14001, 14100, 2268, 60, 1, 
	14101, 14200, 2284, 60, 1, 
	14201, 14300, 2300, 60, 1, 
	14301, 14400, 2316, 62, 1, 
	14401, 14500, 2332, 62, 1, 
	14501, 14600, 2348, 62, 1, 
	14601, 14700, 2364, 62, 1, 
	14701, 14800, 2380, 62, 1, 
	14801, 14900, 2396, 62, 1, 
	14901, 15000, 2412, 62, 1, 
	15001, 15100, 2428, 64, 1, 
	15101, 15200, 2444, 64, 1, 
	15201, 15300, 2460, 64, 1, 
	15301, 15400, 2476, 64, 1, 
	15401, 15500, 2492, 64, 1, 
	15501, 15600, 2508, 64, 1, 
	15601, 15700, 2524, 64, 1, 
	15701, 15800, 2540, 66, 1, 
	15801, 15900, 2556, 66, 1, 
	15901, 16000, 2572, 66, 1, 
	16001, 16100, 2588, 66, 1, 
	16101, 16200, 2604, 66, 1, 
	16201, 16300, 2620, 66, 1, 
	16301, 16400, 2636, 66, 1, 
	16401, 16500, 2652, 68, 1, 
	16501, 16600, 2668, 68, 1, 
	16601, 16700, 2684, 68, 1, 
	16701, 16800, 2700, 68, 1, 
	16801, 16900, 2716, 68, 1, 
	16901, 17000, 2732, 68, 1, 
	17001, 17100, 2748, 68, 1, 
	17101, 17200, 2764, 68, 1, 
	17201, 17300, 2780, 70, 1, 
	17301, 17400, 2796, 70, 1, 
	17401, 17500, 2812, 70, 1, 
	17501, 17600, 2828, 70, 1, 
	17601, 17700, 2844, 70, 1, 
	17701, 17800, 2860, 70, 1, 
	17801, 17900, 2876, 70, 1, 
	17901, 18000, 2892, 72, 1, 
	18001, 18100, 2908, 72, 1, 
	18101, 18200, 2924, 72, 1, 
	18201, 18300, 2940, 72, 1, 
	18301, 18400, 2956, 72, 1, 
	18401, 18500, 2972, 72, 1, 
	18501, 18600, 2988, 72, 1, 
	18601, 18700, 3004, 74, 1, 
	18701, 18800, 3020, 74, 1, 
	18801, 18900, 3036, 74, 1, 
	18901, 19000, 3052, 74, 1, 
	19001, 19100, 3068, 74, 1, 
	19101, 19200, 3084, 74, 1, 
	19201, 19300, 3100, 74, 1, 
	19301, 19400, 3116, 76, 1, 
	19401, 19500, 3132, 76, 1, 
	19501, 19600, 3148, 76, 1, 
	19601, 19700, 3164, 76, 1, 
	19701, 19800, 3180, 76, 1, 
	19801, 19900, 3196, 76, 1, 
	19901, 20000, 3212, 76, 1, 
	20001, 20100, 3228, 78, 1, 
	20101, 20200, 3244, 78, 1, 
	20201, 20300, 3260, 78, 1, 
	20301, 20400, 3276, 78, 1, 
	20401, 20500, 3292, 78, 1, 
	20501, 20600, 3308, 78, 1, 
	20601, 20700, 3324, 78, 1, 
	20701, 20800, 3340, 80, 1, 
	20801, 20900, 3356, 80, 1, 
	20901, 21000, 3372, 80, 1, 
	21001, 21100, 3388, 80, 1, 
	21101, 21200, 3404, 80, 1, 
	21201, 21300, 3420, 80, 1, 
	21301, 21400, 3436, 80, 1, 
	21401, 21500, 3452, 82, 1, 
	21501, 21600, 3468, 82, 1, 
	21601, 21700, 3484, 82, 1, 
	21701, 21800, 3500, 82, 1, 
	21801, 21900, 3516, 82, 1, 
	21901, 22000, 3532, 82, 1, 
	22001, 22100, 3548, 82, 1, 
	22101, 22200, 3564, 82, 1, 
	22201, 22300, 3580, 84, 1, 
	22301, 22400, 3596, 84, 1, 
	22401, 22500, 3612, 84, 1, 
	22501, 22600, 3628, 84, 1, 
	22601, 22700, 3644, 84, 1, 
	22701, 22800, 3660, 84, 1, 
	22801, 22900, 3676, 84, 1, 
	22901, 23000, 3692, 86, 1, 
	23001, 23100, 3708, 86, 1, 
	23101, 23200, 3724, 86, 1, 
	23201, 23300, 3740, 86, 1, 
	23301, 23400, 3756, 86, 1, 
	23401, 23500, 3772, 86, 1, 
	23501, 23600, 3788, 86, 1, 
	23601, 23700, 3804, 88, 1, 
	23701, 23800, 3820, 88, 1, 
	23801, 23900, 3836, 88, 1, 
	23901, 24000, 3852, 88, 1, 
	24001, 24100, 3868, 88, 1, 
	24101, 24200, 3884, 88, 1, 
	24201, 24300, 3900, 88, 1, 
	24301, 24400, 3916, 90, 1, 
	24401, 24500, 3932, 90, 1, 
	24501, 24600, 3948, 90, 1, 
	24601, 24700, 3964, 90, 1, 
	24701, 24800, 3980, 90, 1, 
	24801, 24900, 3996, 90, 1, 
	24901, 25000, 4012, 90, 1, 
	25001, 25100, 4028, 92, 1, 
	25101, 25200, 4044, 92, 1, 
	25201, 25300, 4060, 92, 1, 
	25301, 25400, 4076, 92, 1, 
	25401, 25500, 4092, 92, 1, 
	25501, 25600, 4108, 92, 1, 
	25601, 25700, 4124, 92, 1, 
	25701, 25800, 4140, 94, 1, 
	25801, 25900, 4156, 94, 1, 
	25901, 26000, 4172, 94, 1, 
	26001, 26100, 4188, 94, 1, 
	26101, 26200, 4204, 94, 1, 
	26201, 26300, 4220, 94, 1, 
	26301, 26400, 4236, 94, 1, 
	26401, 26500, 4252, 96, 1, 
	26501, 26600, 4268, 96, 1, 
	26601, 26700, 4284, 96, 1, 
	26701, 26800, 4300, 96, 1, 
	26801, 26900, 4316, 96, 1, 
	26901, 27000, 4332, 96, 1, 
	27001, 27100, 4348, 96, 1, 
	27101, 27200, 4364, 96, 1, 
	27201, 27300, 4380, 98, 1, 
	27301, 27400, 4396, 98, 1, 
	27401, 27500, 4412, 98, 1, 
	27501, 27600, 4428, 98, 1, 
	27601, 27700, 4444, 98, 1, 
	27701, 27800, 4460, 98, 1, 
	27801, 27900, 4476, 98, 1, 
	27901, 28000, 4492, 100, 1, 
	28001, 28100, 4508, 100, 1, 
	28101, 28200, 4524, 100, 1, 
	28201, 28300, 4540, 100, 1, 
	28301, 28400, 4556, 100, 1, 
	28401, 28500, 4572, 100, 1, 
	28501, 28600, 4588, 100, 1, 
	28601, 28700, 4604, 102, 1, 
	28701, 28800, 4620, 102, 1, 
	28801, 28900, 4636, 102, 1, 
	28901, 29000, 4652, 102, 1, 
	29001, 29100, 4668, 102, 1, 
	29101, 29200, 4684, 102, 1, 
	29201, 29300, 4700, 102, 1, 
	29301, 29400, 4716, 104, 1, 
	29401, 29500, 4732, 104, 1, 
	29501, 29600, 4748, 104, 1, 
	29601, 29700, 4764, 104, 1, 
	29701, 29800, 4780, 104, 1, 
	29801, 29900, 4796, 104, 1, 
	29901, 30000, 4812, 104, 1, 
	30001, 30100, 4828, 106, 1, 
	30101, 30200, 4844, 106, 1, 
	30201, 30300, 4860, 106, 1, 
	30301, 30400, 4876, 106, 1, 
	30401, 30500, 4892, 106, 1, 
	30501, 30600, 4908, 106, 1, 
	30601, 30700, 4924, 106, 1, 
	30701, 30800, 4940, 108, 1, 
	30801, 30900, 4956, 108, 1, 
	30901, 31000, 4972, 108, 1, 
	31001, 31100, 4988, 108, 1, 
	31101, 31200, 5004, 108, 1, 
	31201, 31300, 5020, 108, 1, 
	31301, 31400, 5036, 108, 1, 
	31401, 31500, 5052, 110, 1, 
	31501, 31600, 5068, 110, 1, 
	31601, 31700, 5084, 110, 1, 
	31701, 31800, 5100, 110, 1, 
	31801, 31900, 5116, 110, 1, 
	31901, 32000, 5132, 110, 1, 
	32001, 32100, 5148, 110, 1, 
	32101, 32200, 5164, 110, 1, 
	32201, 32300, 5180, 112, 1, 
	32301, 32400, 5196, 112, 1, 
	32401, 32500, 5212, 112, 1, 
	32501, 32600, 5228, 112, 1, 
	32601, 32700, 5244, 112, 1, 
	32701, 32800, 5260, 112, 1, 
	32801, 32900, 5276, 112, 1, 
	32901, 33000, 5292, 114, 1, 
	33001, 33100, 5308, 114, 1, 
	33101, 33200, 5324, 114, 1, 
	33201, 33300, 5340, 114, 1, 
	33301, 33400, 5356, 114, 1, 
	33401, 33500, 5372, 114, 1, 
	33501, 33600, 5388, 114, 1, 
	33601, 33700, 5404, 116, 1, 
	33701, 33800, 5420, 116, 1, 
	33801, 33900, 5436, 116, 1, 
	33901, 34000, 5452, 116, 1, 
	34001, 34100, 5468, 116, 1, 
	34101, 34200, 5484, 116, 1, 
	34201, 34300, 5500, 116, 1, 
	34301, 34400, 5516, 118, 1, 
	34401, 34500, 5532, 118, 1, 
	34501, 34600, 5548, 118, 1, 
	34601, 34700, 5564, 118, 1, 
	34701, 34800, 5580, 118, 1, 
	34801, 34900, 5596, 118, 1, 
	34901, 35000, 5612, 118, 1, 
	35001, 35100, 5628, 120, 2, 
	35101, 35200, 5644, 120, 2, 
	35201, 35300, 5660, 120, 2, 
	35301, 35400, 5676, 120, 2, 
	35401, 35500, 5692, 120, 2, 
	35501, 35600, 5708, 120, 2, 
	35601, 35700, 5724, 120, 2, 
	35701, 35800, 5740, 122, 2, 
	35801, 35900, 5756, 122, 2, 
	35901, 36000, 5772, 122, 2, 
	36001, 36100, 5788, 122, 2, 
	36101, 36200, 5804, 122, 2, 
	36201, 36300, 5820, 122, 2, 
	36301, 36400, 5836, 122, 2, 
	36401, 36500, 5852, 124, 2, 
	36501, 36600, 5868, 124, 2, 
	36601, 36700, 5884, 124, 2, 
	36701, 36800, 5900, 124, 2, 
	36801, 36900, 5916, 124, 2, 
	36901, 37000, 5932, 124, 2, 
	37001, 37100, 5948, 124, 2, 
	37101, 37200, 5964, 124, 2, 
	37201, 37300, 5980, 126, 2, 
	37301, 37400, 5996, 126, 2, 
	37401, 37500, 6012, 126, 2, 
	37501, 37600, 6028, 126, 2, 
	37601, 37700, 6044, 126, 2, 
	37701, 37800, 6060, 126, 2, 
	37801, 37900, 6076, 126, 2, 
	37901, 38000, 6092, 128, 2, 
	38001, 38100, 6108, 128, 2, 
	38101, 38200, 6124, 128, 2, 
	38201, 38300, 6140, 128, 2, 
	38301, 38400, 6156, 128, 2, 
	38401, 38500, 6172, 128, 2, 
	38501, 38600, 6188, 128, 2, 
	38601, 38700, 6204, 130, 2, 
	38701, 38800, 6220, 130, 2, 
	38801, 38900, 6236, 130, 2, 
	38901, 39000, 6252, 130, 2, 
	39001, 39100, 6268, 130, 2, 
	39101, 39200, 6284, 130, 2, 
	39201, 39300, 6300, 130, 2, 
	39301, 39400, 6316, 132, 2, 
	39401, 39500, 6332, 132, 2, 
	39501, 39600, 6348, 132, 2, 
	39601, 39700, 6364, 132, 2, 
	39701, 39800, 6380, 132, 2, 
	39801, 39900, 6396, 132, 2, 
	39901, 40000, 6412, 132, 2, 
	40001, 40100, 6428, 134, 2, 
	40101, 40200, 6444, 134, 2, 
	40201, 40300, 6460, 134, 2, 
	40301, 40400, 6476, 134, 2, 
	40401, 40500, 6492, 134, 2, 
	40501, 40600, 6508, 134, 2, 
	40601, 40700, 6524, 134, 2, 
	40701, 40800, 6540, 136, 2, 
	40801, 40900, 6556, 136, 2, 
	40901, 41000, 6572, 136, 2, 
	41001, 41100, 6588, 136, 2, 
	41101, 41200, 6604, 136, 2, 
	41201, 41300, 6620, 136, 2, 
	41301, 41400, 6636, 136, 2, 
	41401, 41500, 6652, 138, 2, 
	41501, 41600, 6668, 138, 2, 
	41601, 41700, 6684, 138, 2, 
	41701, 41800, 6700, 138, 2, 
	41801, 41900, 6716, 138, 2, 
	41901, 42000, 6732, 138, 2, 
	42001, 42100, 6748, 138, 2, 
	42101, 42200, 6764, 138, 2, 
	42201, 42300, 6780, 140, 2, 
	42301, 42400, 6796, 140, 2, 
	42401, 42500, 6812, 140, 2, 
	42501, 42600, 6828, 140, 2, 
	42601, 42700, 6844, 140, 2, 
	42701, 42800, 6860, 140, 2, 
	42801, 42900, 6876, 140, 2, 
	42901, 43000, 6892, 142, 2, 
	43001, 43100, 6908, 142, 2, 
	43101, 43200, 6924, 142, 2, 
	43201, 43300, 6940, 142, 2, 
	43301, 43400, 6956, 142, 2, 
	43401, 43500, 6972, 142, 2, 
	43501, 43600, 6988, 142, 2, 
	43601, 43700, 7004, 144, 2, 
	43701, 43800, 7020, 144, 2, 
	43801, 43900, 7036, 144, 2, 
	43901, 44000, 7052, 144, 2, 
	44001, 44100, 7068, 144, 2, 
	44101, 44200, 7084, 144, 2, 
	44201, 44300, 7100, 144, 2, 
	44301, 44400, 7116, 146, 2, 
	44401, 44500, 7132, 146, 2, 
	44501, 44600, 7148, 146, 2, 
	44601, 44700, 7164, 146, 2, 
	44701, 44800, 7180, 146, 2, 
	44801, 44900, 7196, 146, 2, 
	44901, 45000, 7212, 146, 2, 
	45001, 45100, 7228, 148, 2, 
	45101, 45200, 7244, 148, 2, 
	45201, 45300, 7260, 148, 2, 
	45301, 45400, 7276, 148, 2, 
	45401, 45500, 7292, 148, 2, 
	45501, 45600, 7308, 148, 2, 
	45601, 45700, 7324, 148, 2, 
	45701, 45800, 7340, 150, 2, 
	45801, 45900, 7356, 150, 2, 
	45901, 46000, 7372, 150, 2, 
	46001, 46100, 7388, 150, 2, 
	46101, 46200, 7404, 150, 2, 
	46201, 46300, 7420, 150, 2, 
	46301, 46400, 7436, 150, 2, 
	46401, 46500, 7452, 152, 2, 
	46501, 46600, 7468, 152, 2, 
	46601, 46700, 7484, 152, 2, 
	46701, 46800, 7500, 152, 2, 
	46801, 46900, 7516, 152, 2, 
	46901, 47000, 7532, 152, 2, 
	47001, 47100, 7548, 152, 2, 
	47101, 47200, 7564, 152, 2, 
	47201, 47300, 7580, 154, 2, 
	47301, 47400, 7596, 154, 2, 
	47401, 47500, 7612, 154, 2, 
	47501, 47600, 7628, 154, 2, 
	47601, 47700, 7644, 154, 2, 
	47701, 47800, 7660, 154, 2, 
	47801, 47900, 7676, 154, 2, 
	47901, 48000, 7692, 156, 2, 
	48001, 48100, 7708, 156, 2, 
	48101, 48200, 7724, 156, 2, 
	48201, 48300, 7740, 156, 2, 
	48301, 48400, 7756, 156, 2, 
	48401, 48500, 7772, 156, 2, 
	48501, 48600, 7788, 156, 2, 
	48601, 48700, 7804, 158, 2, 
	48701, 48800, 7820, 158, 2, 
	48801, 48900, 7836, 158, 2, 
	48901, 49000, 7852, 158, 2, 
	49001, 49100, 7868, 158, 2, 
	49101, 49200, 7884, 158, 2, 
	49201, 49300, 7900, 158, 2, 
	49301, 49400, 7916, 160, 2, 
	49401, 49500, 7932, 160, 2, 
	49501, 49600, 7948, 160, 2, 
	49601, 49700, 7964, 160, 2, 
	49701, 49800, 7980, 160, 2, 
	49801, 49900, 7996, 160, 2, 
	49901, 50000, 8012, 160, 2, 
	50001, 50100, 8028, 162, 2, 
	50101, 50200, 8044, 162, 2, 
	50201, 50300, 8060, 162, 2, 
	50301, 50400, 8076, 162, 2, 
	50401, 50500, 8092, 162, 2, 
	50501, 50600, 8108, 162, 2, 
	50601, 50700, 8124, 162, 2, 
	50701, 50800, 8140, 164, 2, 
	50801, 50900, 8156, 164, 2, 
	50901, 51000, 8172, 164, 2, 
	51001, 51100, 8188, 164, 2, 
	51101, 51200, 8204, 164, 2, 
	51201, 51300, 8220, 164, 2, 
	51301, 51400, 8236, 164, 2, 
	51401, 51500, 8252, 166, 2, 
	51501, 51600, 8268, 166, 2, 
	51601, 51700, 8284, 166, 2, 
	51701, 51800, 8300, 166, 2, 
	51801, 51900, 8316, 166, 2, 
	51901, 52000, 8332, 166, 2, 
	52001, 52100, 8348, 166, 2, 
	52101, 52200, 8364, 166, 2, 
	52201, 52300, 8380, 168, 2, 
	52301, 52400, 8396, 168, 2, 
	52401, 52500, 8412, 168, 2, 
	52501, 52600, 8428, 168, 2, 
	52601, 52700, 8444, 168, 2, 
	52701, 52800, 8460, 168, 2, 
	52801, 52900, 8476, 168, 2, 
	52901, 53000, 8492, 170, 2, 
	53001, 53100, 8508, 170, 2, 
	53101, 53200, 8524, 170, 2, 
	53201, 53300, 8540, 170, 2, 
	53301, 53400, 8556, 170, 2, 
	53401, 53500, 8572, 170, 2, 
	53501, 53600, 8588, 170, 2, 
	53601, 53700, 8604, 172, 2, 
	53701, 53800, 8620, 172, 2, 
	53801, 53900, 8636, 172, 2, 
	53901, 54000, 8652, 172, 2, 
	54001, 54100, 8668, 172, 2, 
	54101, 54200, 8684, 172, 2, 
	54201, 54300, 8700, 172, 2, 
	54301, 54400, 8716, 174, 2, 
	54401, 54500, 8732, 174, 2, 
	54501, 54600, 8748, 174, 2, 
	54601, 54700, 8764, 174, 2, 
	54701, 54800, 8780, 174, 2, 
	54801, 54900, 8796, 174, 2, 
	54901, 55000, 8812, 174, 2, 
	55001, 55100, 8828, 176, 2, 
	55101, 55200, 8844, 176, 2, 
	55201, 55300, 8860, 176, 2, 
	55301, 55400, 8876, 176, 2, 
	55401, 55500, 8892, 176, 2, 
	55501, 55600, 8908, 176, 2, 
	55601, 55700, 8924, 176, 2, 
	55701, 55800, 8940, 178, 2, 
	55801, 55900, 8956, 178, 2, 
	55901, 56000, 8972, 178, 2, 
	56001, 56100, 8988, 178, 2, 
	56101, 56200, 9004, 178, 2, 
	56201, 56300, 9020, 178, 2, 
	56301, 56400, 9036, 178, 2, 
	56401, 56500, 9052, 180, 2, 
	56501, 56600, 9068, 180, 2, 
	56601, 56700, 9084, 180, 2, 
	56701, 56800, 9100, 180, 2, 
	56801, 56900, 9116, 180, 2, 
	56901, 57000, 9132, 180, 2, 
	57001, 57100, 9148, 180, 2, 
	57101, 57200, 9164, 180, 2, 
	57201, 57300, 9180, 182, 2, 
	57301, 57400, 9196, 182, 2, 
	57401, 57500, 9212, 182, 2, 
	57501, 57600, 9228, 182, 2, 
	57601, 57700, 9244, 182, 2, 
	57701, 57800, 9260, 182, 2, 
	57801, 57900, 9276, 182, 2, 
	57901, 58000, 9292, 184, 2, 
	58001, 58100, 9308, 184, 2, 
	58101, 58200, 9324, 184, 2, 
	58201, 58300, 9340, 184, 2, 
	58301, 58400, 9356, 184, 2, 
	58401, 58500, 9372, 184, 2, 
	58501, 58600, 9388, 184, 2, 
	58601, 58700, 9404, 186, 2, 
	58701, 58800, 9420, 186, 2, 
	58801, 58900, 9436, 186, 2, 
	58901, 59000, 9452, 186, 2, 
	59001, 59100, 9468, 186, 2, 
	59101, 59200, 9484, 186, 2, 
	59201, 59300, 9500, 186, 2, 
	59301, 59400, 9516, 188, 2, 
	59401, 59500, 9532, 188, 2, 
	59501, 59600, 9548, 188, 2, 
	59601, 59700, 9564, 188, 2, 
	59701, 59800, 9580, 188, 2, 
	59801, 59900, 9596, 188, 2, 
	59901, 60000, 9612, 188, 2, 
	60001, 60100, 9628, 190, 2, 
	60100, 9000000, 0, 190, 2, 
]
GOLDOUTPUT = [
 0, 6000, 690, 1, 
 6001, 6100, 1363, 1, 
 6101, 6200, 1385, 1, 
 6201, 6300, 1407, 1, 
 6301, 6400, 1430, 1, 
 6401, 6500, 1452, 1, 
 6501, 6600, 1475, 1, 
 6601, 6700, 1497, 1, 
 6701, 6800, 1519, 1, 
 6801, 6900, 1542, 1, 
 6901, 7000, 1564, 1, 
 7001, 7100, 1587, 1, 
 7101, 7200, 1609, 1, 
 7201, 7300, 1631, 1, 
 7301, 7400, 1654, 1, 
 7401, 7500, 1676, 1, 
 7501, 7600, 1699, 1, 
 7601, 7700, 1721, 1, 
 7701, 7800, 1743, 1, 
 7801, 7900, 1766, 1, 
 7901, 8000, 1788, 1, 
 8001, 8100, 1811, 1, 
 8101, 8200, 1833, 1, 
 8201, 8300, 1855, 1, 
 8301, 8400, 1878, 1, 
 8401, 8500, 1900, 1, 
 8501, 8600, 1923, 1, 
 8601, 8700, 1945, 1, 
 8701, 8800, 1967, 1, 
 8801, 8900, 1990, 1, 
 8901, 9000, 2012, 1, 
 9001, 9100, 2035, 1, 
 9101, 9200, 2057, 1, 
 9201, 9300, 2079, 1, 
 9301, 9400, 2102, 1, 
 9401, 9500, 2124, 1, 
 9501, 9600, 2147, 1, 
 9601, 9700, 2169, 1, 
 9701, 9800, 2191, 1, 
 9801, 9900, 2214, 1, 
 9901, 10000, 2236, 1, 
 10001, 10100, 2259, 1, 
 10101, 10200, 2281, 1, 
 10201, 10300, 2303, 1, 
 10301, 10400, 2326, 1, 
 10401, 10500, 2348, 1, 
 10501, 10600, 2371, 1, 
 10601, 10700, 2393, 1, 
 10701, 10800, 2415, 1, 
 10801, 10900, 2438, 1, 
 10901, 11000, 2460, 1, 
 11001, 11100, 2483, 1, 
 11101, 11200, 2505, 1, 
 11201, 11300, 2527, 1, 
 11301, 11400, 2550, 1, 
 11401, 11500, 2572, 1, 
 11501, 11600, 2595, 1, 
 11601, 11700, 2617, 1, 
 11701, 11800, 2639, 1, 
